years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	23	8	6	0	-477.84	-34.691184
2009	6	23	8	8	0	-654.49	-47.515974
2009	6	23	8	10	0	-824.89	-59.887014
2009	6	23	8	12	0	-983.99	-71.437674
2009	6	23	8	14	0	-1142.77	-82.965102
2009	6	23	8	16	0	-1290.84	-93.714984
2009	6	23	8	18	0	-1424.42	-103.412892
2009	6	23	8	20	0	-1548.2	-112.39932
2009	6	23	8	22	0	-1656.09	-120.232134
2009	6	23	8	24	0	-1757.47	-127.592322
2009	6	23	8	26	0	-1846.36	-134.045736
2009	6	23	8	28	0	-1917.42	-139.204692
2009	6	23	8	30	0	-1976.33	-143.481558
2009	6	23	8	32	0	-2017.43	-146.465418
2009	6	23	8	34	0	-2044.15	-148.40529
2009	6	23	8	36	0	-2059.26	-149.502276
2009	6	23	8	38	0	-2063.81	-149.832606
2009	6	23	8	40	0	-2050.94	-148.898244
2009	6	23	8	42	0	-2021.95	-146.79357
2009	6	23	8	44	0	-1978.78	-143.659428
2009	6	23	8	46	0	-1943.74	-141.115524
2009	6	23	8	48	0	-1869.67	-135.738042
2009	6	23	8	50	0	-1779.72	-129.207672
2009	6	23	8	52	0	-1665.32	-120.902232
2009	6	23	8	54	0	-1537.63	-111.631938
2009	6	23	8	56	0	-1400.54	-101.679204
2009	6	23	8	58	0	-1239.37	-89.978262
2009	6	23	9	0	0	-1059.89	-76.948014
2009	6	23	9	2	0	-869.76	-63.144576
2009	6	23	9	4	0	-669.33	-48.593358
2009	6	23	9	6	0	-434.7	-31.55922
2009	6	23	9	8	0	-199.53	-14.485878
2009	6	23	9	10	0	52.25	3.79335
2009	6	23	9	12	0	311.76	22.633776
2009	6	23	9	14	0	573.2	41.61432
2009	6	23	9	16	0	913.96	66.353496
2009	6	23	9	18	0	1201.77	87.248502
2009	6	23	9	20	0	1501.49	109.008174
2009	6	23	9	22	0	1822.82	132.336732
2009	6	23	9	24	0	2162.72	157.013472
2009	6	23	9	26	0	2511.9	182.36394
2009	6	23	9	28	0	2851.49	207.018174
2009	6	23	9	30	0	3201.98	232.463748
2009	6	23	9	32	0	3560.46	258.489396
2009	6	23	9	34	0	3925.21	284.970246
2009	6	23	9	36	0	4294.98	311.815548
2009	6	23	9	38	0	4668.55	338.93673
2009	6	23	9	40	0	5044.56	366.235056
2009	6	23	9	42	0	5421.55	393.60453
2009	6	23	9	44	0	5798	420.9348
2009	6	23	9	46	0	6172.29	448.108254
2009	6	23	9	48	0	6542.81	475.008006
2009	6	23	9	50	0	6907.87	501.511362
2009	6	23	9	52	0	7265.8	527.49708
2009	6	23	9	54	0	7581.46	550.413996
2009	6	23	9	56	0	7918.22	574.862772
2009	6	23	9	58	0	8243.28	598.462128
2009	6	23	10	0	0	8555.24	621.110424
2009	6	23	10	2	0	8852.78	642.711828
2009	6	23	10	4	0	9134.77	663.184302
2009	6	23	10	6	0	9400.25	682.45815
