years	months	days	hours	minutes	seconds	Q	u_Q
2009	8	20	8	56	0	8819.59	556.516129
2009	8	20	8	58	0	9225.94	582.156814
2009	8	20	9	0	0	9622.48	607.178488
2009	8	20	9	2	0	10008.39	631.529409
2009	8	20	9	4	0	10383.07	655.171717
2009	8	20	9	6	0	10746.18	678.083958
2009	8	20	9	8	0	11097.42	700.247202
2009	8	20	9	10	0	11436.47	721.641257
2009	8	20	9	12	0	11763.1	742.25161
2009	8	20	9	14	0	12077.1	762.06501
2009	8	20	9	16	0	12378.5	781.08335
2009	8	20	9	18	0	12667.72	799.333132
2009	8	20	9	20	0	12945.24	816.844644
2009	8	20	9	22	0	13211.53	833.647543
2009	8	20	9	24	0	13467.02	849.768962
2009	8	20	9	26	0	13712.12	865.234772
2009	8	20	9	28	0	13947.25	880.071475
2009	8	20	9	30	0	14172.78	894.302418
2009	8	20	9	32	0	14389.08	907.950948
2009	8	20	9	34	0	14596.51	921.039781
2009	8	20	9	36	0	14795.28	933.582168
2009	8	20	9	38	0	14985.58	945.590098
2009	8	20	9	40	0	15167.97	957.098907
2009	8	20	9	42	0	15342.86	968.134466
2009	8	20	9	44	0	15510.38	978.704978
2009	8	20	9	46	0	15670.39	988.801609
2009	8	20	9	48	0	15822.48	998.398488
2009	8	20	9	50	0	15966.69	1007.498139
2009	8	20	9	52	0	16103.13	1016.107503
2009	8	20	9	54	0	16232.13	1024.247403
2009	8	20	9	56	0	16354.2	1031.95002
2009	8	20	9	58	0	16469.88	1039.249428
2009	8	20	10	0	0	16579.9	1046.19169
2009	8	20	10	2	0	16684.77	1052.808987
2009	8	20	10	4	0	16784.99	1059.132869
2009	8	20	10	6	0	16881.25	1065.206875
2009	8	20	10	8	0	16974.01	1071.060031
2009	8	20	10	10	0	17063.55	1076.710005
2009	8	20	10	12	0	17150.35	1082.187085
2009	8	20	10	14	0	17234.81	1087.516511
2009	8	20	10	16	0	17317.12	1092.710272
2009	8	20	10	18	0	17397.23	1097.765213
2009	8	20	10	20	0	17474.96	1102.669976
2009	8	20	10	22	0	17550.14	1107.413834
2009	8	20	10	24	0	17622.72	1111.993632
2009	8	20	10	26	0	17692.71	1116.410001
2009	8	20	10	28	0	17760.2	1120.66862
2009	8	20	10	30	0	17825.11	1124.764441
2009	8	20	10	32	0	17887.22	1128.683582
2009	8	20	10	34	0	17946.75	1132.439925
2009	8	20	10	36	0	18003.66	1136.030946
2009	8	20	10	38	0	18057.68	1139.439608
2009	8	20	10	40	0	18108.93	1142.673483
2009	8	20	10	42	0	18157.46	1145.735726
2009	8	20	10	44	0	18203	1148.6093
2009	8	20	10	46	0	18245.35	1151.281585
2009	8	20	10	48	0	18284.57	1153.756367
2009	8	20	10	50	0	18320.53	1156.025443
2009	8	20	10	52	0	18353.06	1158.078086
2009	8	20	10	54	0	18382.16	1159.914296
2009	8	20	10	56	0	18407.57	1161.517667
2009	8	20	10	58	0	18429.45	1162.898295
