years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	25	10	4	0	15867.76	363.371704
2009	6	25	10	6	0	16908.76	387.210604
2009	6	25	10	8	0	17972.54	411.571166
2009	6	25	10	10	0	19041.46	436.049434
2009	6	25	10	12	0	19976.8	457.46872
2009	6	25	10	14	0	20908.4	478.80236
2009	6	25	10	16	0	21810.26	499.454954
2009	6	25	10	18	0	22681.11	519.397419
2009	6	25	10	20	0	23519.74	538.602046
2009	6	25	10	22	0	24325.05	557.043645
2009	6	25	10	24	0	25096.13	574.701377
2009	6	25	10	26	0	25832.3	591.55967
2009	6	25	10	28	0	26533.11	607.608219
2009	6	25	10	30	0	27198.33	622.841757
2009	6	25	10	32	0	27827.97	637.260513
2009	6	25	10	34	0	28422.19	650.868151
2009	6	25	10	36	0	28981.33	663.672457
2009	6	25	10	38	0	29505.91	675.685339
2009	6	25	10	40	0	29996.63	686.922827
2009	6	25	10	42	0	30454.36	697.404844
2009	6	25	10	44	0	30880.12	707.154748
2009	6	25	10	46	0	31275.13	716.200477
2009	6	25	10	48	0	31640.73	724.572717
2009	6	25	10	50	0	31978.4	732.30536
2009	6	25	10	52	0	32289.64	739.432756
2009	6	25	10	54	0	32575.95	745.989255
2009	6	25	10	56	0	32838.8	752.00852
2009	6	25	10	58	0	33079.67	757.524443
2009	6	25	11	0	0	33299.98	762.569542
2009	6	25	11	2	0	33501.19	767.177251
2009	6	25	11	4	0	33684.71	771.379859
2009	6	25	11	6	0	33851.96	775.209884
2009	6	25	11	8	0	34004.34	778.699386
2009	6	25	11	10	0	34143.24	781.880196
2009	6	25	11	12	0	34270.05	784.784145
2009	6	25	11	14	0	34386.09	787.441461
2009	6	25	11	16	0	34492.54	789.879166
2009	6	25	11	18	0	34590.49	792.122221
2009	6	25	11	20	0	34680.91	794.192839
2009	6	25	11	22	0	34764.68	796.111172
2009	6	25	11	24	0	34842.61	797.895769
2009	6	25	11	26	0	34915.36	799.561744
2009	6	25	11	28	0	34983.49	801.121921
2009	6	25	11	30	0	35047.49	802.587521
2009	6	25	11	32	0	35107.68	803.965872
2009	6	25	11	34	0	35164.3	805.26247
2009	6	25	11	36	0	35217.56	806.482124
2009	6	25	11	38	0	35267.63	807.628727
2009	6	25	11	40	0	35314.7	808.70663
2009	6	25	11	42	0	35358.88	809.718352
2009	6	25	11	44	0	35400.27	810.666183
2009	6	25	11	46	0	35438.99	811.552871
2009	6	25	11	48	0	35475.13	812.380477
2009	6	25	11	50	0	35508.77	813.150833
2009	6	25	11	52	0	35539.98	813.865542
2009	6	25	11	54	0	35587.04	814.943216
2009	6	25	11	56	0	35600.48	815.250992
2009	6	25	11	58	0	35622.9	815.76441
2009	6	25	12	0	0	35685.15	817.189935
2009	6	25	12	2	0	35714	817.8506
2009	6	25	12	4	0	35727.33	818.155857
2009	6	25	12	6	0	35739.35	818.431115
2009	6	25	12	8	0	35750.2	818.67958
