years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	26	9	16	0	-12494.94	-563.521794
2009	6	26	9	18	0	-12690.93	-572.360943
2009	6	26	9	20	0	-12878.64	-580.826664
2009	6	26	9	22	0	-13055.33	-588.795383
2009	6	26	9	24	0	-13217.21	-596.096171
2009	6	26	9	26	0	-13369.88	-602.981588
2009	6	26	9	28	0	-13508.57	-609.236507
2009	6	26	9	30	0	-13631.34	-614.773434
2009	6	26	9	32	0	-13736.95	-619.536445
2009	6	26	9	34	0	-13824.28	-623.475028
2009	6	26	9	36	0	-13892.48	-626.550848
2009	6	26	9	38	0	-13941.11	-628.744061
2009	6	26	9	40	0	-13973.16	-630.189516
2009	6	26	9	42	0	-13982.62	-630.616162
2009	6	26	9	44	0	-13972.78	-630.172378
2009	6	26	9	46	0	-13943.7	-628.86087
2009	6	26	9	48	0	-13895.45	-626.684795
2009	6	26	9	50	0	-13828.07	-623.645957
2009	6	26	9	52	0	-13741.65	-619.748415
2009	6	26	9	54	0	-13636.36	-614.999836
2009	6	26	9	56	0	-13512.23	-609.401573
2009	6	26	9	58	0	-13369.35	-602.957685
2009	6	26	10	0	0	-13207.94	-595.678094
2009	6	26	10	2	0	-13028.19	-587.571369
2009	6	26	10	4	0	-12830.3	-578.64653
2009	6	26	10	6	0	-12614.5	-568.91395
2009	6	26	10	8	0	-12381.06	-558.385806
2009	6	26	10	10	0	-12130.31	-547.076981
2009	6	26	10	12	0	-11862.55	-535.001005
2009	6	26	10	14	0	-11577.94	-522.165094
2009	6	26	10	16	0	-11277.05	-508.594955
2009	6	26	10	18	0	-10960.28	-494.308628
2009	6	26	10	20	0	-10628.48	-479.344448
2009	6	26	10	22	0	-10282.35	-463.733985
2009	6	26	10	24	0	-9922.47	-447.503397
2009	6	26	10	26	0	-9549.6	-430.68696
2009	6	26	10	28	0	-9164.37	-413.313087
2009	6	26	10	30	0	-8767.27	-395.403877
2009	6	26	10	32	0	-8359.18	-376.999018
2009	6	26	10	34	0	-7940.75	-358.127825
2009	6	26	10	36	0	-7512.81	-338.827731
2009	6	26	10	38	0	-7076.36	-319.143836
2009	6	26	10	40	0	-6632.31	-299.117181
