years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	15	9	44	0	-30945.13	-1463.704649
2009	6	15	9	46	0	-31096.835	-1470.8802955
2009	6	15	9	48	0	-31254.45	-1478.335485
2009	6	15	9	50	0	-31419.31	-1486.133363
2009	6	15	9	52	0	-31590.185	-1494.2157505
2009	6	15	9	54	0	-31765.26	-1502.496798
2009	6	15	9	56	0	-31942.67	-1510.888291
2009	6	15	9	58	0	-32120.515	-1519.3003595
2009	6	15	10	0	0	-32296.855	-1527.6412415
2009	6	15	10	2	0	-32469.695	-1535.8165735
2009	6	15	10	4	0	-32637.28	-1543.743344
2009	6	15	10	6	0	-32794.395	-1551.1748835
2009	6	15	10	8	0	-32903.105	-1556.3168665
2009	6	15	10	10	0	-33040.52	-1562.816596
2009	6	15	10	12	0	-33164.285	-1568.6706805
2009	6	15	10	14	0	-33272.185	-1573.7743505
2009	6	15	10	16	0	-33362.13	-1578.028749
2009	6	15	10	18	0	-33431.68	-1581.318464
2009	6	15	10	20	0	-33477.96	-1583.507508
2009	6	15	10	22	0	-33498.855	-1584.4958415
2009	6	15	10	24	0	-33492.985	-1584.2181905
2009	6	15	10	26	0	-33460.09	-1582.662257
2009	6	15	10	28	0	-33400.835	-1579.8594955
2009	6	15	10	30	0	-33323.53	-1576.202969
2009	6	15	10	32	0	-33214.505	-1571.0460865
2009	6	15	10	34	0	-33082.095	-1564.7830935
2009	6	15	10	36	0	-32927.415	-1557.4667295
2009	6	15	10	38	0	-32751.305	-1549.1367265
2009	6	15	10	40	0	-32554.15	-1539.811295
2009	6	15	10	42	0	-32336.04	-1529.494692
2009	6	15	10	44	0	-32096.685	-1518.1732005
2009	6	15	10	46	0	-31835.55	-1505.821515
2009	6	15	10	48	0	-31552.32	-1492.424736
2009	6	15	10	50	0	-31287.59	-1479.903007
2009	6	15	10	52	0	-30959.645	-1464.3912085
2009	6	15	10	54	0	-30610.15	-1447.860095
2009	6	15	10	56	0	-30239.075	-1430.3082475
2009	6	15	10	58	0	-29846.375	-1411.7335375
2009	6	15	11	0	0	-29432.14	-1392.140222
2009	6	15	11	2	0	-28996.915	-1371.5540795
2009	6	15	11	4	0	-28541.865	-1350.0302145
2009	6	15	11	6	0	-28067.945	-1327.6137985
2009	6	15	11	8	0	-27575.26	-1304.309798
2009	6	15	11	10	0	-27064.29	-1280.140917
2009	6	15	11	12	0	-26527.8	-1254.76494
2009	6	15	11	14	0	-25981.51	-1228.925423
2009	6	15	11	16	0	-25417.795	-1202.2617035
2009	6	15	11	18	0	-24836.43	-1174.763139
2009	6	15	11	20	0	-24237.26	-1146.422398
2009	6	15	11	22	0	-23620.815	-1117.2645495
2009	6	15	11	24	0	-22987.895	-1087.3274335
2009	6	15	11	26	0	-22339.145	-1056.6415585
2009	6	15	11	28	0	-21675.16	-1025.235068
2009	6	15	11	30	0	-20989.635	-992.8097355
2009	6	15	11	32	0	-20267.99	-958.675927
2009	6	15	11	34	0	-19559.735	-925.1754655
2009	6	15	11	36	0	-18828.17	-890.572441
2009	6	15	11	38	0	-18085.195	-855.4297235
2009	6	15	11	40	0	-17329.035	-819.6633555
2009	6	15	11	42	0	-16556.61	-783.127653
2009	6	15	11	44	0	-15768.53	-745.851469
2009	6	15	11	46	0	-14963.835	-707.7893955
2009	6	15	11	48	0	-14145.045	-669.0606285
2009	6	15	11	50	0	-13310.82	-629.601786
2009	6	15	11	52	0	-12462.32	-589.467736
2009	6	15	11	54	0	-11591.01	-548.254773
2009	6	15	11	56	0	-10714.295	-506.7861535
2009	6	15	11	58	0	-9823.545	-464.6536785
2009	6	15	12	0	0	-8920.565	-421.9427245
2009	6	15	12	2	0	-7993.18	-378.077414
2009	6	15	12	4	0	-7071.915	-334.5015795
2009	6	15	12	6	0	-6126.81	-289.798113
2009	6	15	12	8	0	-5200.68	-245.992164
2009	6	15	12	10	0	-4224.195	-199.8044235
2009	6	15	12	12	0	-3311.26	-156.622598
2009	6	15	12	14	0	-2374.545	-112.3159785
2009	6	15	12	16	0	-1264.1	-59.79193
2009	6	15	12	18	0	-325.675	-15.4044275
2009	6	15	12	20	0	943.855	44.6443415
2009	6	15	12	22	0	1821.91	86.176343
2009	6	15	12	24	0	2965.37	140.262001
2009	6	15	12	26	0	4404.335	208.3250455
2009	6	15	12	28	0	5322.47	251.752831
2009	6	15	12	30	0	6310.425	298.4831025
2009	6	15	12	32	0	7329.93	346.705689
2009	6	15	12	34	0	8367.1	395.76383
2009	6	15	12	36	0	9416.34	445.392882
2009	6	15	12	38	0	10474.905	495.4630065
2009	6	15	12	40	0	11541.075	545.8928475
2009	6	15	12	42	0	12612.61	596.576453
2009	6	15	12	44	0	13687.695	647.4279735
2009	6	15	12	46	0	14766.075	698.4353475
2009	6	15	12	48	0	15846.94	749.560262
2009	6	15	12	50	0	16928.65	800.725145
2009	6	15	12	52	0	18008.92	851.821916
2009	6	15	12	54	0	19085.21	902.730433
2009	6	15	12	56	0	20139.455	952.5962215
2009	6	15	12	58	0	21196.295	1002.5847535
2009	6	15	13	0	0	22239.39	1051.923147
2009	6	15	13	2	0	23266.21	1100.491733
2009	6	15	13	4	0	24274.43	1148.180539
2009	6	15	13	6	0	25261.89	1194.887397
2009	6	15	13	8	0	26226.665	1240.5212545
2009	6	15	13	10	0	27149.755	1284.1834115
2009	6	15	13	12	0	28063.995	1327.4269635
2009	6	15	13	14	0	28951.355	1369.3990915
2009	6	15	13	16	0	29811.615	1410.0893895
2009	6	15	13	18	0	30644.165	1449.4690045
2009	6	15	13	20	0	31463.51	1488.224023
2009	6	15	13	22	0	32237.375	1524.8278375
2009	6	15	13	24	0	32982.025	1560.0497825
2009	6	15	13	26	0	33680.15	1593.071095
2009	6	15	13	28	0	34365.335	1625.4803455
2009	6	15	13	30	0	35020.58	1656.473434
2009	6	15	13	32	0	35646.405	1686.0749565
2009	6	15	13	34	0	36243.57	1714.320861
2009	6	15	13	36	0	36813.94	1741.299362
2009	6	15	13	38	0	37351.885	1766.7441605
2009	6	15	13	40	0	37872.52	1791.370196
2009	6	15	13	42	0	38367.86	1814.799778
2009	6	15	13	44	0	38838.605	1837.0660165
2009	6	15	13	46	0	39284.875	1858.1745875
2009	6	15	13	48	0	39707.19	1878.150087
2009	6	15	13	50	0	40106.605	1897.0424165
